system:index,name,.geo
13,SECTOR_2_SUB_3_NORTH_EAST,"{""type"":""Polygon"",""coordinates"":[[[40.37898673175748,36.97446544722616],[40.37898673175748,36.65343076208343],[40.75252188800748,36.62918871168601],[41.079365149726236,36.708497952481366],[41.22768057941373,37.05780142343563],[41.00520743488248,37.125718320915496],[40.79372061847622,37.114768099953544],[40.59047354816373,37.08190793475659],[40.37898673175748,36.97446544722616]]]}"
14,SECTOR_2_SUB_4_MID_WEST,"{""type"":""Polygon"",""coordinates"":[[[39.79125864582157,36.07837200047617],[39.89425547199344,36.33655551156985],[39.70611460285281,36.49348525258225],[39.11010630207157,36.40511312588479],[39.041441751290314,36.23028265041041],[39.085387063790314,36.09501889695845],[39.79125864582157,36.07837200047617]]]}"
15,SECTOR_2_SUB_5_MID_MID,"{""type"":""Polygon"",""coordinates"":[[[39.71133182103257,36.49172076574859],[39.8939795261107,36.33810622621445],[39.790982699938816,36.08103772014749],[40.021415285576964,35.94933011770882],[40.4025035424129,36.17080852609915],[40.31323962639728,36.42592485289002],[40.088019899834784,36.5826740212888],[39.71133182103257,36.49172076574859]]]}"
16,SECTOR_2_SUB_6_MID_EAST,"{""type"":""Polygon"",""coordinates"":[[[40.32147937249103,36.42813479057645],[40.39563708733478,36.16914560180493],[40.02210193108478,35.94933011770882],[40.82959704827228,35.927092405554845],[40.71973376702228,36.06486531718046],[40.70874743889728,36.304281448378504],[40.75543933342852,36.626771400272084],[40.38465075920978,36.65101421125143],[40.09076648186603,36.58487948893122],[40.32147937249103,36.42813479057645]]]}"
17,SECTOR_2_SUB_7_SOUTH_WEST,"{""type"":""Polygon"",""coordinates"":[[[39.08481168576649,36.09264347502682],[39.01340055295398,35.923786797475856],[39.017520426000864,35.870388537263814],[39.61352872678212,35.730046834788276],[39.792056558813364,36.0759960754758],[39.08481168576649,36.09264347502682]]]}"
18,SECTOR_2_SUB_8_SOUTH_MID,"{""type"":""Polygon"",""coordinates"":[[[39.79197845687225,36.074495395955985],[39.61070404280976,35.73188399406669],[39.9814926170285,35.432563001818],[40.20396576155975,35.66496906068666],[40.23417816390351,35.93896310399432],[40.02269134749725,35.94785760381457],[39.79197845687225,36.074495395955985]]]}"
19,SECTOR_2_SUB_9_SOUTH_EAST,"{""type"":""Polygon"",""coordinates"":[[[40.202592470544126,35.6549269783513],[39.971879579919126,35.43591979798156],[40.40583954085662,35.1175234632652],[40.587113954919126,35.24772386877813],[40.82881317366912,35.924507406773245],[40.23143158187225,35.93229157218253],[40.202592470544126,35.6549269783513]]]}"
20,SECTOR_3_SUB_1_SOUTH,"{""type"":""Polygon"",""coordinates"":[[[40.763777547274586,36.62288414861655],[40.719832234774586,36.256094684131114],[40.74729805508709,36.069830664601106],[41.252669148837086,36.06094991415216],[41.285628133212086,36.34463617652506],[41.400984578524586,36.521417387746155],[41.08238106289958,36.70219988298132],[40.763777547274586,36.62288414861655]]]}"
21,SECTOR_3_SUB_2_MID,"{""type"":""Polygon"",""coordinates"":[[[41.41746407071209,36.521417387746155],[41.818465047274586,36.59642741254828],[41.961287312899586,36.71100769646548],[41.21971016446209,37.04495572107593],[41.093367391024586,36.71100769646548],[41.41746407071209,36.521417387746155]]]}"
22,SECTOR_3_SUB_3_NORTH,"{""type"":""Polygon"",""coordinates"":[[[41.966780476962086,36.72421752381722],[42.340315633212086,37.04495572107593],[42.32383614102459,37.228878737436375],[42.197493367587086,37.29445711559615],[41.98875313321209,37.16324327764052],[41.247175984774586,37.05810790344791],[41.966780476962086,36.72421752381722]]]}"
